Model,Accuracy,Precision,Recall,F1 Score,CV Accuracy,Training Time
SVM,0.9075,0.9157755958529229,0.9075,0.9039742949069398,0.9419642857142858,578.3592391014099
XGBoost,0.88,0.8873579921813408,0.88,0.875165932548428,0.91625,627.7697944641113
Extra Trees,0.849375,0.8587175832848938,0.849375,0.8432764116605094,0.8921428571428572,11.256417036056519
Random Forest,0.845625,0.8579439968010927,0.845625,0.8390337680106691,0.8896428571428571,26.681569576263428
CatBoost,0.815,0.8199901749715132,0.815,0.8087531260056244,,744.2732722759247
